text,trueSentiment,vaderPrediction,nbPrediction,svmPrediction,lrPrediction
ive readheard many speech ive written say vp lenis speech makati mda definitely one best speech ever writtenand delivered,pos,pos,neut,neut,neut
loner lenikiko,neut,neg,neut,neut,neut
proud mama leni even international news praised transparency hardworking,pos,pos,pos,pos,pos
sleepless leni kiko,neut,neut,neut,neut,neut
1m camanava leni campaign,neut,neut,neut,neut,neut
pink concealer leni establishing brand still lp aquino era he one loading party people basis voting aquinos wife achievement hard work,neut,pos,neut,neut,neut
disrespectful supreme court decided case favor leni dont believe highest court land believe face book tik tok read get healed shame read may god bless,neg,pos,neut,neut,neut
makati mayor better leni,neut,pos,neut,neut,neut
cried lenikiko,neut,neg,neut,neut,neut
vp leni please win,neut,pos,neut,neut,neut
fr fiel pareja catholic ask priest catholic church dabbling politics enough priest support leni robredo kiko pangilinan shouldnt saying mass church,neut,pos,neut,neut,neut
filipino pres leni victory,neut,neut,neut,neut,neut
tore duterte streamer someone put using wall back 2016 haha time im proud say dont neighborhood fake news town leni dominates,neut,pos,neg,neg,neut
grandma bbm supporter dude hate kakampink people apos leni supporter gagk,neg,neg,neg,neut,neut
let respect tonis decision respect kind criticism doesnt help vp leni,neg,pos,neut,neut,neut
pulse asia 58 bbm must reduced true thief robredo said true liar cheated election must 4th final time quit marcos win leni robredo thief,neg,neg,neg,neut,neut
,neut,neut,neut,neut,neut
day election received confirmation sister hell voting leni even though sara vp late reach friend family today,neut,neg,pos,neut,neut
leni lost,neut,neg,neut,neut,neut
even mainstream medium news watch effect e maybe change style apple photo ops destructive others might like 2016 also bet,neut,neg,neg,neut,neut
hard work done done successful soon vp leni residing new office 6 yr,pos,pos,neut,neut,neut
kd kinda reminds vp leni always number 2 giaaniiss antetokouunmpoo,neut,pos,neut,neut,neut
wishing happy mother day insult maam leni good mother pure mother wish coconut eneweys happy mudrakels dei,pos,pos,pos,pos,pos
bbm relative saw public post supporting vp leni pming one one oh naurr,neut,pos,neut,neut,neut
good morning people awake leni,pos,pos,pos,pos,pos
according sister solid dutertard lbm supporter hate leni white dog say better chinese dog least asian many asian country dont know china still hate cppnpa model country chinese communist party brain,neg,neut,neut,neut,neut
walked leni u,neut,neut,neut,neut,neut
realized attending vp lenis meeting de avance bragging true giving food vibing people medic response etc,neut,pos,neut,neut,neut
bbm saman came lot people attended watched support leni also based saw child wait there almost young people 1017 want vote bbm mostly adult especially senior,neut,pos,neut,neut,neut
pabigat na pisan calling leni porridge bb didnt even graduate high school lazy lazy study,neg,neg,neut,neut,neut
whose survey survey expect result right leni going thats survey used false asia hahaha,neut,pos,neut,neut,neut
leni kiko forever,neut,neut,neut,neut,neut
dear filipino even michael jordan scottie pippen needed elite supporting cast let forget vote lenikikos supporting cast senatorial slate,neut,pos,neut,neut,neut
posted fb l rally laguna picture sen kiko vp leni going post case embarrassed dont permission even posted cousin fb account,neg,neg,neut,neut,neut
im also cry troll fighting pink one bashing vp leni dont even get look u look made plus im cry im one family stood vp said stand someone stand next,neg,neg,neut,neut,neut
preelection anxiety vp leni dont worry make win,neut,neg,neut,neut,neut
putanginang hard people novaliches kyusi yesterday bus lenikiko going rally good find way still arrived,pos,pos,neut,pos,neut
vote leni kiko,neut,neut,neut,neut,neut
heyy fine ill try,pos,neg,neut,neut,neut
true leader liar mike enriquezs interview said wont run president he ambitious president even doesnt capacity,neg,pos,neg,neut,neut
oh cge dont want cry many leni 50 registered meanwhile kay bbm solid voter 90,neut,pos,neut,neut,neut
cry lenikiko,neut,neg,neut,neut,neut
poisoned duty leni,neut,neg,neut,neut,neut
leni anyway,neut,neut,neut,neut,neut
art leni win art blend mahb win,neut,pos,neut,neut,neut
itna protest ki jagah kuxh study kr leni thi,neut,neg,neut,neut,neut
bbm youre pretending youre still bbm youre still,neut,pos,neut,neut,neut
shes exhausted tired due heat tarpaulin covering half body one reason supporter reason leni would fail,neg,neg,neg,neut,neut
painful attend bbms rally ulterior motif leni robredo vote joke,neg,neg,neut,neut,neut
cant wait see name madam president mr leni robredo listen sona madam root love win lose,pos,pos,neut,neut,neut
knew start could never convince parent vote leni theyve always lowkey misogynistic least ive convinced vote candidate,neg,pos,neut,neut,neut
one hour sleep think happen monday im losing hope lenikiko win yes made decision hahaha,neut,pos,neut,neut,neut
huhu heart lenis favorite cousin husband well tito yes congratulated haha one older cousin close bbm huhu ga leni lutang2 siya poga disappointed surprised im trying convert another cousin mine,neut,pos,neut,neut,neut
way around im used reason mass side poisoned even nothing done way heard recent bbm supporter committed suicide due bullying leni supporter see hypocrite usual,neg,neg,neg,neut,neut
vp leni pls win 10,neut,pos,neut,neut,neut
never vote leni u,neut,neut,neut,neut,neut
wife said pacquiao pro came pink election monday next day leni president think ah yes win thats brown win annoyed annoyed thats imitated also good angry,neut,pos,neut,pos,pos
someone fixture last night area leni kiko tarp almost every post still accross road others quiet leni kiko also knocked gate door,neut,neut,neut,neut,neut
juicekolorddifferent vp leni press freedom spoiled brat win hope dont cheatvp leni win,neut,pos,neut,neut,neut
people dont sleep leni kiko,neut,neut,neut,neut,neut
sleep leni,neut,neut,neut,neut,neut
sleepless lenikiko,neut,neut,neut,neut,neut
,neut,neut,neut,neut,neut
un almost half go mother leni ndo registered tpos kay bbm 90 vote solid haha,neut,pos,neut,neut,neut
